Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,7439557975569665288,2024-11-21T10:44:36,173,PH,85200,212,507,44800000,"The idea of going back to college in my 40s felt daunting, terrifying even. But knowing my family believes in me gives me the strength to face every challenge head-on. This journey has taught me that courage isn’t about being completely fearless—it’s about moving forward despite the fear, trusting that your purpose is greater than any obstacle in your path, and above all, remembering you are never truly alone. #GoForwardTogether@Globe Telecom ",True,Unnamed: 32,bogarttheexplorer,Bogart The Explorer,643800,105,9600000,434,255,False,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
,,,,,,,,,,,,,,,,,,,,,,7486147887076805896,2025-03-26T23:57:15,48,PH,800,8,18,52700,"BUSINESS AS USUAL FOR COACH CHOT. TNT coach Chot Reyes gets honest and said that he and Poy Erram did not need to address anything regarding their heated argument during Game 5 of the best-of-seven Final series in the #PBASeason49 Commissioner's Cup, emphasizing the level of trust and depth the Tropang Giga has with each other. | via Xander Lauren Cipriano/One Sports  #OSOnTheSpot #PBAFinals #PBAAngatAngLaban #OneSports",False,,onesportsphl,OneSportsPHL,1200000,2,64100000,5159,102,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7486162069482376466,2025-03-27T00:52:17,32,PH,54,0,2,2200,"MIDWEEK MADNESS IN THE UAAP AT ITS FINEST! 🤯 The NU men’s team is back on the winning track, UP delivers an upset vs. NU, and both FEU teams claim big wins in this UAAP Wednesday quadruple-header. | via Maureen Muarip/One Sports  #OSOnTheSpot #UAAPSeason87 #StrongerBetterTogether #LegendsStartHere #OneSports",False,,onesportsphl,OneSportsPHL,1200000,2,64100000,5159,102,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7486298117411769618,2025-03-27T09:40:20,40,PH,187,0,3,5936,‘THEY WERE JUST BETTER AT IT’ Barangay Ginebra head coach Tim Cone admits that TNT played better than the Gin Kings in Game 6 of the PBA Season 49 Commissioner’s Cup best-of-seven Final series. | via Gillian Trinidad/One Sports #PBASeason49 #PBAAngatAngLaban #PBAFinals #OneSports #SportsonTiktok ,False,,onesportsphl,OneSportsPHL,1200000,2,64100000,5159,102,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7486392467487591688,2025-03-27T16:15:00,153,PH,77,0,0,1147,"WALANG TAKOT KAHIT KANINO 😤💪 Major upset para sa NU ang handog ng UP, nang tapusin ng Fighting Maroons ang 8-0 winning streak ng Lady Bulldogs sa kanilang intense five-setter Round 2 showdown sa UAAP Season 87 women's volleyball tournament! Balikan ang nasabing pangyayari sa video na ito at pag-usapan natin 'yan sa comments section. 👇🏻 #OSOnTheSpot #UAAPSeason87 #StrongerBetterTogether #LegendsStartHere #OneSports",False,,onesportsphl,OneSportsPHL,1200000,2,64100000,5159,102,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7486294858307538194,2025-03-27T09:27:41,56,PH,962,6,10,29600,‘I’M HAPPY FOR POY’ 🫂 TNT’s Calvin Oftana talks about their Game 6 win against Barangay Ginebra and gives Poy Erram the credit for staying composed throughout the crucial match. | via Gillian Trinidad/One Sports #PBASeason49 #PBAAngatAngLaban #PBAFinals #OneSports #SportsonTiktok ,False,,onesportsphl,OneSportsPHL,1200000,2,64100000,5159,102,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7483363464879066389,2025-03-19T11:52:22,11,PH,635,19,29,18700,Airbus Door closing ✈️,False,,rbedz,Ralph Bediones ✈,968600,471,16600000,1078,117300,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7486334150094490900,2025-03-27T12:00:12,11,PH,263,1,13,3181,"Flight Attendant Training ✈️ Here are some of the subjects, lessons & trainings before we become a cabin crew 💛 If you have questions let me know in the comments! #flightattendant #cabincrew #flightattendanttraining #cabincrewtraining ",False,Flight Attendant Training ✈️,rbedz,Ralph Bediones ✈,968600,471,16600000,1078,117300,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7486049037272255765,2025-03-26T17:33:45,42,PH,23,7,10,708,"WOW as in WOW! I’m really loving the sound quality of this device! 🎧 As someone who edits videos on my phone, Sound trip, watches movies and do casual gaming, This is a really great bluetooth headset! Sound quality is superb! 🔊 Ang ganda at sulit! Check out the yellow basket and don’t forget to use “EDIFIERRALPH” when you check out para may discount 🤘🏻",False,EDIFIER W800BTse,rbedz,Ralph Bediones ✈,968600,471,16600000,1078,117300,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7484239208815529236,2025-03-21T20:30:43,55,PH,93,6,21,6758,Hair Care reveal! So glad I found this product ✨ Been using it for awhile now and its been great! 🚿 Love it #lavojoyph #beautyph #haircareph #hairserumph #hairoilingph #beautycareph #hairroutine #hairtok #healthycare #womensmonth #selfcareph ,True,Hair Care reveal 🚿,rbedz,Ralph Bediones ✈,968600,471,16600000,1078,117300,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7484951541149879572,2025-03-23T18:34:56,46,PH,170,6,10,2154,"Mga mehn! kailangan din natin ng hair care 🤘🏻 Para mas tumibay at smooth ang bagsak ng buhok, try nyo rin tong gamit ko na shampoo & conditioner 🚿 Sarap sa feeling after maligo! #lavojoyph #beautyph #haircareph #hairserumph #hairoiling #beautycareph #hairroutine #hairtok #healthycare #womensmonth #selfcareph @lavojoy PH ",False,Shampoo reveal 🚿,rbedz,Ralph Bediones ✈,968600,471,16600000,1078,117300,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7486025055755963656,2025-03-26T16:00:38,59,PH,291,10,22,9095,NAMISS KUNA GUMAWA NG CONTENT 😭 #fyp #lalangvibes ,False,,lalangvibes12,LALANG vibes,952700,935,5900000,1550,19100,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7485525298885266706,2025-03-25T07:41:27,38,PH,169,5,10,11300,BAKIT KAYA D NAKA TULOG AKG ANAK😂 #fyp #lalangvibes ,False,,lalangvibes12,LALANG vibes,952700,935,5900000,1550,19100,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7478191659067411730,2025-03-05T13:23:01,34,PH,19,1,1,894,LET'S DO DANCE CHALLENGE SAYAW PARA SA PAG AHON 💚 #49VoteAhonMahirapPartylist #AhonMahirap #ahonmahirappartylist #49saBalota ,False,,lalangvibes12,LALANG vibes,952700,935,5900000,1550,19100,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7481468881979149575,2025-03-14T09:20:26,38,PH,95,0,10,3522,GRABE KA NAMAN KUYA🥹 #fyp #fyp  #lalangvibes ,False,,lalangvibes12,LALANG vibes,952700,935,5900000,1550,19100,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7485965373888843026,2025-03-26T12:09:03,59,PH,77,3,3,2349,NAMISS KUNA GUMAWA NG CONTENT 😭 #fyp #lalangvibes ,False,,lalangvibes12,LALANG vibes,952700,935,5900000,1550,19100,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7486191678475209991,2025-03-27T02:47:15,12,PK,277,6,10,3257,#arsalgondal277 #gondal_squad ,False,,arsalgondal277,🔥 Arsal GondAl 🔥,895500,191,20100000,2328,23400,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7486061700307782920,2025-03-26T18:22:48,15,PK,1126,25,44,15100,Dada pota ,False,,arsalgondal277,🔥 Arsal GondAl 🔥,895500,191,20100000,2328,23400,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7485012146334567688,2025-03-23T22:30:00,22,PK,183,0,8,2846,##arsalgondal277 #gondal_squad ,False,,arsalgondal277,🔥 Arsal GondAl 🔥,895500,191,20100000,2328,23400,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7486056997305994514,2025-03-26T18:04:33,15,PK,3093,40,110,26900,#arsalgondal277 #gondal_squad ,False,,arsalgondal277,🔥 Arsal GondAl 🔥,895500,191,20100000,2328,23400,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7486060762956369160,2025-03-26T18:19:09,12,PK,960,6,46,13200,#arsalgondal277 #gondal_squad ,False,,arsalgondal277,🔥 Arsal GondAl 🔥,895500,191,20100000,2328,23400,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7484796592424324370,2025-03-23T08:33:39,10,PK,19800,389,0,255800,Sunnnn tww,False,,imalishba.official,𝐀𝐥𝐢ش 𝐡𝐛𝐚💗🎀,706800,148,20400000,1891,32700,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7485187438365723911,2025-03-24T09:50:21,14,CH,4275,79,0,65100,#draft ,False,ہر بلا سے رہے تو سلامت ، دن جوانی کے آئے ہوئے ہیں ۔❤️‍🔥,imalishba.official,𝐀𝐥𝐢ش 𝐡𝐛𝐚💗🎀,706800,148,20400000,1891,32700,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7458784283486866695,2025-01-12T06:12:42,8,PK,61200,3269,0,2000000,Afterr 100th tryyyy🥲,False,,imalishba.official,𝐀𝐥𝐢ش 𝐡𝐛𝐚💗🎀,706800,148,20400000,1891,32700,False,Karachi,"Sindh, Pakistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7235966906094701830,2023-05-22T19:27:16,15,PK,183900,6562,0,3400000,Sorry guys😂,False,,imalishba.official,𝐀𝐥𝐢ش 𝐡𝐛𝐚💗🎀,706800,148,20400000,1891,32700,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7245040352959171842,2023-06-16T06:17:07,13,CA,292,0,5,2605,#remedy #canada #tea #Memories ,False,Bon 🍵 ,simrandhiman01,Simran Dhiman,726900,0,6200000,539,1326,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6730612107542383873,2019-08-29T23:32:34,20,IN,8155,276,114,64500,3 years ho gye aaj es song ko kiye...thank u for your love & support #simrandhiman1 @tiktok_india,False,,simrandhiman01,Simran Dhiman,726900,0,6200000,539,1326,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6719681495663136001,2019-07-31T12:36:13,15,IN,520200,3728,1313,5000000,My first dancing tiktok in western outfit🙈 #foryoupage #simrandhiman1 @deepjandumusic @tiktok_india,False,,simrandhiman01,Simran Dhiman,726900,0,6200000,539,1326,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6773811647388716289,2019-12-24T09:28:53,23,IN,221000,12200,3220,2300000,Bhukh se bada mazhab! Aur Roti se bada ishwar koi nahi!!#simrandhiman1 #gurdasmaan_saab @tiktok_india,False,,simrandhiman01,Simran Dhiman,726900,0,6200000,539,1326,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7295264731437272322,2023-10-29T14:33:08,17,CA,398,0,7,9471,#beach #metime #punjabi #canada #🇨🇦 #poetry ,False,High tides & Good vibes 🏖️ ;Simran Dhiman ,simrandhiman01,Simran Dhiman,726900,0,6200000,539,1326,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7485034226484612370,2025-03-23T23:55:41,17,US,1006,1,92,7608,Raza wakhte Baba Yaw Takter largii rawara da 😆😆🤣 #pashtofunny  #mr_atiq310 #foryou ,False,,mr_atiq310,♨️Gp Atiq بھائی ♨️,1000000,374,21900000,1698,29300,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7485397754655608072,2025-03-24T23:26:22,23,US,87900,1689,6761,1200000,Baba Jan #foryou #plese_tiktok_for_you #virlavideo #virlavideo #tiktok #crew07 #virlavideo #plese_tiktok_for_you #foryou #fyp #virla #tiktok #virlavideo #plese_tiktok_for_you #foryou #tiktok #crew07 #foryou #virlavideo #plese_tiktok_for_you #foryou ,False,Miss you Baba Jan 😭,mr_atiq310,♨️Gp Atiq بھائی ♨️,1000000,374,21900000,1698,29300,False,Peshawar,"Khyber Pakhtunkhwa, Pakistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7485771074832026898,2025-03-25T23:35:04,19,US,2735,13,147,32200,Mashra Ror laka da plar   Respect brother #foryou #plese_tiktok_for_you #virlavideo #tiktok #tiktok #crew07 #virla #tiktok #virlavideo #virlavideo #plese_tiktok_for_you #foryou #plese_tiktok_for_you #virlavideo #tiktok #foryou ,False,مشر رور;کشر رور;Respect ;Brother ,mr_atiq310,♨️Gp Atiq بھائی ♨️,1000000,374,21900000,1698,29300,False,Peshawar,"Khyber Pakhtunkhwa, Pakistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7485263652916940050,2025-03-24T14:46:00,16,US,1697,6,168,9470,Eid First Day 🥲#foryou #plese_tiktok_for_you #virlavideo #virla #foryou #virlavideo #tiktok #virla #foryou #crew07 #tiktok #crew07 #crew07 #fyp #foryou ,False,,mr_atiq310,♨️Gp Atiq بھائی ♨️,1000000,374,21900000,1698,29300,False,Peshawar,"Khyber Pakhtunkhwa, Pakistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7227438263378726145,2023-04-29T19:51:49,43,SG,2100000,50600,4619,16600000,It’s game over 😂 #desi #indian #dad #hotel #fyp ,False,When you take a drink from the hotel minibar,avidixit10,Avi Dixit,1400000,58,110400000,938,37900,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7485712282165579015,2025-03-25T19:46:53,30,SG,13700,1316,110,123900,Gotta try to play it off cool #friends #parents #indian ,False,When you act like your Indian parents are cool on the phone,avidixit10,Avi Dixit,1400000,58,110400000,938,37900,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7484598883943812370,2025-03-22T19:46:21,25,SG,28400,4227,316,533700,9 pm is bed time for me now #night #funny #relatable ,False,Me at 9 pm 10 years ago:;Me at 9 pm now:,avidixit10,Avi Dixit,1400000,58,110400000,938,37900,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7301284176433515777,2023-11-14T19:51:37,40,SG,2800000,46700,25500,23900000,Always such a try hard #teacher #school #fyp #foryou ,False,"That one teacher’s pet 
be like",avidixit10,Avi Dixit,1400000,58,110400000,938,37900,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7486083463884377352,2025-03-26T19:47:15,66,SG,14300,314,163,140100,Best teacher in the school #student #teacher #school ,False,When the chill teacher gets mad at the teachers pet,avidixit10,Avi Dixit,1400000,58,110400000,938,37900,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7486048523994090760,2025-03-26T17:31:41,11,PK,1180,5,0,3725,,False,,zoyasoomro27,Zoya Soomro,772600,8,12600000,2291,20700,False,Karachi Defence Guest House,"Clifton Block 7 9 DHA Phase 7 Pechs Block 6 Sharah Faisal, Karachi South, Karachi, Sindh 75600, Pakistan",Karachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7484723557092576520,2025-03-23T03:50:10,10,PK,2669,24,41,9507,,False,,zoyasoomro27,Zoya Soomro,772600,8,12600000,2291,20700,False,Karachi Defence Guest House,"Clifton Block 7 9 DHA Phase 7 Pechs Block 6 Sharah Faisal, Karachi South, Karachi, Sindh 75600, Pakistan",Karachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7484201238939192584,2025-03-21T18:03:18,12,PK,2536,22,0,8517,,False,,zoyasoomro27,Zoya Soomro,772600,8,12600000,2291,20700,False,Karachi Defence Guest House,"Clifton Block 7 9 DHA Phase 7 Pechs Block 6 Sharah Faisal, Karachi South, Karachi, Sindh 75600, Pakistan",Karachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6977677454018186498,2021-06-25T18:32:15,7,PH,447700,11900,5201,7400000,Again and again,False,,alymaderaje,Alyanna Maderaje,931400,449,4700000,2600,44500,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7486381844791905554,2025-03-27T15:05:10,127,PH,2,0,1,191,HONEST REVIEW OF HIKARI ULTRAWHITE SUNSCREEN! supeerrr bet na bettt 😍😍,False,,alymaderaje,Alyanna Maderaje,931400,449,4700000,2600,44500,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7485551415667035410,2025-03-25T09:22:43,18,PH,75,2,0,1604,Kahit pagod at puyat ihahatid at sundo ako nyan 🥹🫶🏻 #fyp  #relationshipgoals ,False,"Thank you sa paghatid sundo sakin lagi sa office. Kahit minsan galing work, puyat at pagod ka diretsyo hatid o sundo padin sakin 🥹
Iloveyou always 🥺🤍",alymaderaje,Alyanna Maderaje,931400,449,4700000,2600,44500,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7204360347665321243,2023-02-26T15:17:42,50,PH,104500,1155,777,2000000,Matibay nga!!! ,True,,alymaderaje,Alyanna Maderaje,931400,449,4700000,2600,44500,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7292811640074947846,2023-10-22T23:53:51,172,PH,29600,385,287,5400000,Ang daming natanggaaallll 😳🤯🤯,True,,alymaderaje,Alyanna Maderaje,931400,449,4700000,2600,44500,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7452705128139721992,2024-12-26T21:02:14,23,PK,42500,64,132,881200,Yar Huni Chalay Ne Russia ✈️ ,False,,essaawww,Essa,618400,0,22200000,409,628,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7460178295288679688,2025-01-16T00:21:58,24,PK,37200,119,151,636700,Yaar Huni Russia Ponch Gaye 🤣🇷🇺 #lalkaarasinghinlahore ,False,,essaawww,Essa,618400,0,22200000,409,628,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
